date,seed,model,h1,rv_h1
2019-12-31,42,XGBoost,8.566638946533203,7.06215737078676
2019-12-31,7,XGBoost,8.53227710723877,7.06215737078676
2019-12-31,123,XGBoost,8.681556701660156,7.06215737078676
2019-12-31,2024,XGBoost,8.391481399536133,7.06215737078676
2019-12-31,99,XGBoost,8.497537612915039,7.06215737078676
2020-04-30,42,XGBoost,39.480873107910156,37.441893812961915
2020-04-30,7,XGBoost,39.32173156738281,37.441893812961915
2020-04-30,123,XGBoost,39.7703857421875,37.441893812961915
2020-04-30,2024,XGBoost,38.99395751953125,37.441893812961915
2020-04-30,99,XGBoost,39.148765563964844,37.441893812961915
2020-08-31,42,XGBoost,8.65937328338623,8.346642738623656
2020-08-31,7,XGBoost,8.750574111938477,8.346642738623656
2020-08-31,123,XGBoost,8.738248825073242,8.346642738623656
2020-08-31,2024,XGBoost,8.581934928894043,8.346642738623656
2020-08-31,99,XGBoost,8.691238403320312,8.346642738623656
2020-12-31,42,XGBoost,8.770565032958984,9.647546295612331
2020-12-31,7,XGBoost,8.672012329101562,9.647546295612331
2020-12-31,123,XGBoost,8.6788330078125,9.647546295612331
2020-12-31,2024,XGBoost,8.850665092468262,9.647546295612331
2020-12-31,99,XGBoost,8.914615631103516,9.647546295612331
2021-04-30,42,XGBoost,9.921608924865723,10.027328778508734
2021-04-30,7,XGBoost,9.91789722442627,10.027328778508734
2021-04-30,123,XGBoost,9.955931663513184,10.027328778508734
2021-04-30,2024,XGBoost,10.025396347045898,10.027328778508734
2021-04-30,99,XGBoost,9.944062232971191,10.027328778508734
2021-08-31,42,XGBoost,8.644712448120117,8.056833953393419
2021-08-31,7,XGBoost,8.659907341003418,8.056833953393419
2021-08-31,123,XGBoost,8.67613410949707,8.056833953393419
2021-08-31,2024,XGBoost,8.615684509277344,8.056833953393419
2021-08-31,99,XGBoost,8.73744010925293,8.056833953393419
2021-12-31,42,XGBoost,17.120868682861328,16.02770736312624
2021-12-31,7,XGBoost,17.054561614990234,16.02770736312624
2021-12-31,123,XGBoost,17.15972328186035,16.02770736312624
2021-12-31,2024,XGBoost,16.948184967041016,16.02770736312624
2021-12-31,99,XGBoost,17.04796028137207,16.02770736312624
2022-04-30,42,XGBoost,22.23113250732422,24.750882358713177
2022-04-30,7,XGBoost,22.027034759521484,24.750882358713177
2022-04-30,123,XGBoost,21.98415756225586,24.750882358713177
2022-04-30,2024,XGBoost,21.94850730895996,24.750882358713177
2022-04-30,99,XGBoost,21.93581199645996,24.750882358713177
2022-08-31,42,XGBoost,20.704540252685547,19.37189765178452
2022-08-31,7,XGBoost,20.666053771972656,19.37189765178452
2022-08-31,123,XGBoost,20.745220184326172,19.37189765178452
2022-08-31,2024,XGBoost,20.847658157348633,19.37189765178452
2022-08-31,99,XGBoost,20.73896026611328,19.37189765178452
2022-12-31,42,XGBoost,21.13776397705078,18.030056859815588
2022-12-31,7,XGBoost,21.114410400390625,18.030056859815588
2022-12-31,123,XGBoost,21.096803665161133,18.030056859815588
2022-12-31,2024,XGBoost,21.184499740600586,18.030056859815588
2022-12-31,99,XGBoost,21.00568389892578,18.030056859815588
2023-04-30,42,XGBoost,12.680794715881348,12.30885840336378
2023-04-30,7,XGBoost,12.575079917907715,12.30885840336378
2023-04-30,123,XGBoost,12.62359619140625,12.30885840336378
2023-04-30,2024,XGBoost,12.626423835754395,12.30885840336378
2023-04-30,99,XGBoost,12.697145462036133,12.30885840336378
2023-08-31,42,XGBoost,12.657797813415527,11.903051855298784
2023-08-31,7,XGBoost,12.773446083068848,11.903051855298784
2023-08-31,123,XGBoost,12.659931182861328,11.903051855298784
2023-08-31,2024,XGBoost,12.678964614868164,11.903051855298784
2023-08-31,99,XGBoost,12.645833015441895,11.903051855298784
2023-12-31,42,XGBoost,9.070234298706055,9.629718260895311
2023-12-31,7,XGBoost,9.050949096679688,9.629718260895311
